m,corr,a,wtrig,sigmal,gammanull,alpha,cl,sigma,sigmaw,l_i,u_i,gamma,u_noi,l_noi
0.8,0.2,0.5,-0.25,0.8,0,0.25,0.1,1,1,0.6059220900376259,0.32534098459487076,0.7356480985438504,0.31498120986963996,0.5859789028763768
0.8,0.2,0.5,-0.25,0.8,0,0.5,0.1,1,1,0.9386406915622615,0.30466536948670897,0.8066408334063621,0.2917750702135516,0.9119206853210926
0.8,0.2,0.5,-0.25,0.8,0,0.75,0.1,1,1,1.371409402898352,0.3171265781046507,0.8922544137829044,0.301570067837666,1.3331246972084045
0.8,0.2,0.5,-0.25,1,0,0.25,0.1,1,1,0.6045052791849913,0.33090906313647794,0.7190694674099372,0.321107815694339,0.5861204564571381
0.8,0.2,0.5,-0.25,1,0,0.5,0.1,1,1,0.8637760137624134,0.3072706126912129,0.7847126081873462,0.2951438570089446,0.8406087160110474
0.8,0.2,0.5,-0.25,1,0,0.75,0.1,1,1,1.147784829515487,0.3073186219608373,0.8565851168967447,0.2928238641827015,1.1169894337654118
0.8,0.2,0.5,-0.5,-1,0,0.25,0.1,1,1,1.515995012213188,0.3349933564445228,0.6738713237363139,0.32755905911638383,1.5279842316484982
0.8,0.2,0.5,-0.5,-1,0,0.5,0.1,1,1,2.009568669923228,0.3899311389627719,0.6375554351864371,0.38384131967210167,2.0193271931493655
0.8,0.2,0.5,-0.5,-1,0,0.75,0.1,1,1,2.9358853694922855,0.49861682219282516,0.6012192429871216,0.4941782673886825,2.9420470483601098
0.8,0.2,0.5,-0.5,-0.8,0,0.25,0.1,1,1,1.5050987703374072,0.329463465297292,0.6873737104544773,0.32165177262751415,1.5166042558848858
0.8,0.2,0.5,-0.5,-0.8,0,0.5,0.1,1,1,2.0213012694878936,0.38499313390139783,0.6538009752014656,0.3785265534544275,2.0305143296718597
0.8,0.2,0.5,-0.5,-0.8,0,0.75,0.1,1,1,2.9526987108764633,0.49569383247230153,0.6198761399099675,0.490939830321238,2.9588208794633726
0.8,0.2,0.5,-0.5,-0.6,0,0.25,0.1,1,1,1.4770833152079854,0.3229023215389846,0.7026944486813026,0.3146440171667337,1.4877298399806023
0.8,0.2,0.5,-0.5,-0.6,0,0.5,0.1,1,1,2.0236447156531425,0.3782385507015487,0.6728732639863656,0.37130051443078044,2.0319832861423492
0.8,0.2,0.5,-0.5,-0.6,0,0.75,0.1,1,1,2.967567260119757,0.4909090645136536,0.6427889514773918,0.48573752767498013,2.973342092294419
0.8,0.2,0.5,-0.5,-0.3999999999999999,0,0.25,0.1,1,1,1.4200020268820295,0.31540227515427344,0.7194978140037727,0.3066312184205596,1.429069548384509
0.8,0.2,0.5,-0.5,-0.3999999999999999,0,0.5,0.1,1,1,2.0074491805813675,0.36900584603184977,0.6951732589619144,0.3614732765040782,2.014347873685737
0.8,0.2,0.5,-0.5,-0.3999999999999999,0,0.75,0.1,1,1,2.9732741647455314,0.4831165777166759,0.6710113166015824,0.4773793919671364,2.9782126303762197
0.8,0.2,0.5,-0.5,-0.19999999999999996,0,0.25,0.1,1,1,1.314421582819092,0.3076427922272812,0.7361468309737557,0.2983387441811582,1.320441223680973
0.8,0.2,0.5,-0.5,-0.19999999999999996,0,0.5,0.1,1,1,1.9561889602977156,0.35655846826796866,0.7206345579424156,0.3482831024875623,1.960613135248423
0.8,0.2,0.5,-0.5,-0.19999999999999996,0,0.75,0.1,1,1,2.9543729858645946,0.47046353803933755,0.7057022514460067,0.4639410267862296,2.9576349883455517
0.8,0.2,0.5,-0.5,0,0,0.25,0.1,1,1,1.1359969111757862,0.30167675176562586,0.747501644381922,0.2919880679382924,1.135996919125318
0.8,0.2,0.5,-0.5,0,0,0.5,0.1,1,1,1.8420157606562753,0.3405540965949481,0.747501727256175,0.33140480523815025,1.8420157432556157
0.8,0.2,0.5,-0.5,0,0,0.75,0.1,1,1,2.8788896664382957,0.4501276701221896,0.7475016530818074,0.4424986256029712,2.8788896203045855
0.8,0.2,0.5,-0.5,0.20000000000000018,0,0.25,0.1,1,1,0.8940775078722092,0.3012066607966278,0.7427806968129591,0.29164371383694004,0.884471863508382
0.8,0.2,0.5,-0.5,0.20000000000000018,0,0.5,0.1,1,1,1.6309913922915813,0.3224937677189364,0.7693613417140679,0.3125187383418721,1.6233972460031514
0.8,0.2,0.5,-0.5,0.20000000000000018,0,0.75,0.1,1,1,2.686228997632937,0.41879657799755665,0.7939494051238752,0.4096615776475349,2.6798179671168327
0.8,0.2,0.5,-0.5,0.40000000000000013,0,0.25,0.1,1,1,0.7026857650654806,0.30730878935627337,0.7193343157154161,0.2984530074720153,0.6873494051396847
0.8,0.2,0.5,-0.5,0.40000000000000013,0,0.5,0.1,1,1,1.3357917301403897,0.30759345272650296,0.7736089025333185,0.2972954315914653,1.319207407534122
0.8,0.2,0.5,-0.5,0.40000000000000013,0,0.75,0.1,1,1,2.2992685198767298,0.37672587293231286,0.831723782180285,0.36594778870389866,2.281698778271675
0.8,0.2,0.5,-0.5,0.6000000000000001,0,0.25,0.1,1,1,0.6224443134869636,0.31542999909777136,0.6942333327519274,0.307306941146892,0.6073645688593388
0.8,0.2,0.5,-0.5,0.6000000000000001,0,0.5,0.1,1,1,1.0777621109227264,0.3010271367501312,0.7572840210111804,0.29109826757253443,1.0580222755664237
0.8,0.2,0.5,-0.5,0.6000000000000001,0,0.75,0.1,1,1,1.7695718031806589,0.33634315928674363,0.8345648078157935,0.32481179591059595,1.7426772937178607
0.8,0.2,0.5,-0.5,0.8,0,0.25,0.1,1,1,0.599839349231877,0.32256063908155375,0.67492401373714,0.31498120986963996,0.5859789028763768
0.8,0.2,0.5,-0.5,0.8,0,0.5,0.1,1,1,0.9299185048388853,0.3011097051642179,0.7354504100795308,0.2917750702135516,0.9119206853210926
0.8,0.2,0.5,-0.5,0.8,0,0.75,0.1,1,1,1.3583224631153232,0.31267510732404796,0.806538688394188,0.301570067837666,1.3331246972084045
0.8,0.2,0.5,-0.5,1,0,0.25,0.1,1,1,0.599002694091346,0.3282912029679301,0.6604047198133328,0.321107815694339,0.5861204564571381
