m,corr,a,wtrig,sigmal,gammanull,alpha,r,k,q,n,p,cl,sigma,sigmaw,l_i,u_i,gamma,u_noi,l_noi
0.8,0.4,0.26,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.8949546889782387,0.999999999999959,1.8163834199620779,0.9999999999999575,0.8937500000000007
0.8,0.4,0.26,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9088820494160122,0.999999999999957,2.115276495894352,0.9999999999999559,0.9218750000000014
0.8,0.4,0.26,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.8929710443929026,0.9999999999999585,1.8385792982865565,0.9999999999999575,0.8937500000000007
0.8,0.4,0.36000000000000004,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.37885007312647573,0.9999999999999999,2.059639311365414,1,0.42500000000000016
0.8,0.4,0.36000000000000004,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.3483376265884388,0.9999999999999999,0.7763140766687379,1,0.3968750000000001
0.8,0.4,0.36000000000000004,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.3788954595508408,0.9999999999999999,2.056176213315336,1,0.42500000000000016
0.8,0.4,0.36000000000000004,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.34165490693813916,0.9999999999999999,0.9062604317061843,1,0.3968750000000001
0.8,0.4,0.36000000000000004,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.37003612974163225,0.9999999999999999,2.379032076539488,1,0.42500000000000016
0.8,0.4,0.36000000000000004,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.3463810501267762,0.9999999999999999,0.80454735017032,1,0.3968750000000001
0.8,0.4,0.46,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.19570004366088395,0.9999999999999999,1.3559115088530178,0.9999999999999999,0.19999999999999996
0.8,0.4,0.46,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.1812499737391649,1,1.313012550069436,0.9999999999999999,0.16250000000000003
0.8,0.4,0.46,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.19558078134829673,0.9999999999999999,1.3568936464185763,0.9999999999999999,0.19999999999999996
0.8,0.4,0.46,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.18124999896962832,1,0.7498984724878848,0.9999999999999999,0.16250000000000003
0.8,0.4,0.46,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.19915938155566276,0.9999999999999999,1.5860254232801472,0.9999999999999999,0.19999999999999996
0.8,0.4,0.46,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.18124999594320615,1,0.7497985442629748,0.9999999999999999,0.16250000000000003
0.8,0.6000000000000001,0.06,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9070640707406612,0.9992291330924288,8.374252932265623,0.9992048625950283,0.9093185424804686
0.8,0.6000000000000001,0.06,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9072063795251767,0.9992290878061301,8.15204231890388,0.9992061122935217,0.9052089691162105
0.8,0.6000000000000001,0.06,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9078589664390676,0.9992183802953021,6.9283828024707494,0.9992048625950283,0.9093185424804686
0.8,0.6000000000000001,0.06,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.906495454366465,0.9992187860439571,6.718201510970506,0.9992061122935217,0.9052089691162105
0.8,0.6000000000000001,0.06,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9084236913799036,0.9992114629334886,6.176163407992891,0.9992048625950283,0.9093185424804686
0.8,0.6000000000000001,0.06,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9059905097017207,0.9992121958241656,5.943142211804311,0.9992061122935217,0.9052089691162105
0.8,0.6000000000000001,0.16,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9111004438929647,0.9999999946472173,4.60548820458823,0.9999999942769974,0.9142578125000007
0.8,0.6000000000000001,0.16,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9038678043476523,0.9999999946865062,4.387427729229845,0.9999999943534936,0.9010742187499995
0.8,0.6000000000000001,0.16,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9120172356039509,0.9999999945088126,3.9673725699284006,0.9999999942769974,0.9142578125000007
0.8,0.6000000000000001,0.16,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9030240244308834,0.9999999945593171,3.768770413006207,0.9999999943534936,0.9010742187499995
0.8,0.6000000000000001,0.16,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9127470358454203,0.9999999944139417,3.8214085322176894,0.9999999942769974,0.9142578125000007
0.8,0.6000000000000001,0.16,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9024407105108284,0.9999999944727082,3.6075227725580614,0.9999999943534936,0.9010742187499995
0.8,0.6000000000000001,0.26,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9035714270170797,0.9999999999999606,2.8604422882957734,0.9999999999999561,0.9218750000000014
0.8,0.6000000000000001,0.26,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9041343103158861,0.9999999999999615,2.4833048443233205,0.9999999999999577,0.8937500000000007
0.8,0.6000000000000001,0.26,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.91791327797647,0.9999999999999593,2.7576033565151343,0.9999999999999561,0.9218750000000014
0.8,0.6000000000000001,0.26,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.903601665672169,0.9999999999999603,2.403400179018666,0.9999999999999577,0.8937500000000007
0.8,0.6000000000000001,0.26,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9196090424899496,0.9999999999999581,2.535171186123892,0.9999999999999561,0.9218750000000014
0.8,0.6000000000000001,0.26,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9031944107078269,0.9999999999999593,2.131806514173479,0.9999999999999577,0.8937500000000007
0.8,0.6000000000000001,0.36000000000000004,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.36474783261424804,0.9999999999999999,2.2076083400553363,1,0.42500000000000016
0.8,0.6000000000000001,0.36000000000000004,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.3479508243643984,0.9999999999999999,2.0820229306686735,1,0.3968750000000001
0.8,0.6000000000000001,0.36000000000000004,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.3643149881772098,0.9999999999999999,1.9966283103215436,1,0.42500000000000016
0.8,0.6000000000000001,0.36000000000000004,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.34818940968140133,0.9999999999999999,1.9844917236613215,1,0.3968750000000001
0.8,0.6000000000000001,0.36000000000000004,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.3780405842959335,0.9999999999999999,1.9363774681121144,1,0.42500000000000016
0.8,0.6000000000000001,0.36000000000000004,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.3415495282957564,0.9999999999999999,1.8449305605306285,1,0.3968750000000001
0.8,0.6000000000000001,0.46,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.19445319321177548,0.9999999999999999,1.7888419717987365,0.9999999999999999,0.19999999999999996
0.8,0.6000000000000001,0.46,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.18124856595247807,1,1.3162873283127126,0.9999999999999999,0.16249999999999998
0.8,0.6000000000000001,0.46,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.19461416732742645,0.9999999999999999,1.789721237975768,0.9999999999999999,0.19999999999999996
0.8,0.6000000000000001,0.46,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.1812497923178174,1,1.3139413593883773,0.9999999999999999,0.16249999999999998
0.8,0.6000000000000001,0.46,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.1945030359128279,0.9999999999999999,1.7959130379603807,0.9999999999999999,0.19999999999999996
0.8,0.6000000000000001,0.46,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.18124996293126303,1,1.3131089545938834,0.9999999999999999,0.16249999999999998
0.8,0.8,0.06,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9058890338943075,0.9992343074719184,9.151397692216745,0.999205406579225,0.9092275619506831
0.8,0.8,0.06,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9082256228343647,0.9992336178709696,8.850464486879378,0.9992066027117579,0.9052910804748535
0.8,0.8,0.06,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9068869965280151,0.9992235621124922,8.0079223421581,0.999205406579225,0.9092275619506831
0.8,0.8,0.06,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9073388271960536,0.9992234247113924,7.71986418364788,0.9992066027117579,0.9052910804748535
